provinsi,kabupaten_kota,derajat_desentralisasi_2023,rasio_kemandirian_2023,tingkat_penyerapan_pendapatan,tingkat_penyerapan_belanja,rasio_pajak,rasio_efektivitas_pad,rasio_efektivitas_pajak,rasio_belanja_thd_pendapatan,log_derajat_desentralisasi_2023,log_rasio_kemandirian_2023,log_tingkat_penyerapan_pendapatan,log_tingkat_penyerapan_belanja,log_rasio_pajak,log_rasio_efektivitas_pad,log_rasio_efektivitas_pajak,log_rasio_belanja_thd_pendapatan
Jawa Barat,Kota Banjar,17.33,20.96,105.45,102.63,2.69,85.1,100.48,100.41,2.9085390618516134,3.08922261664133,4.667675391339489,4.640826863196126,1.3056264580524357,4.455509411433685,4.6198617347310815,4.619171705623905
Jawa Barat,Kota Bekasi,44.45,80.03,105.91,108.05,34.76,87.74,87.0,104.39,3.816612820623488,4.394819456472634,4.671987359025408,4.691806492647638,3.576829950305313,4.4857107459507635,4.477336814478207,4.657667754945845
Jawa Barat,Kota Bogor,45.11,82.18,102.64,97.37,30.25,99.08,95.84,102.07,3.8310298462186143,4.421006934314765,4.640923355693909,4.588735879524666,3.4420193761824107,4.605969866158656,4.573060132069858,4.635408369048701
Jawa Barat,Kota Cimahi,30.43,43.73,105.12,100.61,15.02,112.71,116.27,107.4,3.447762850809476,3.8006444174447567,4.664570529269539,4.62114195549779,2.7738379416402132,4.7336513476366315,4.764478968472973,4.685828089005546
Jawa Barat,Kota Cirebon,36.55,57.75,101.71,102.63,14.95,98.98,105.59,99.15,3.6256733782101436,4.073291153024268,4.631909483177713,4.640826863196126,2.7694588292308535,4.604970165985424,4.668989698701045,4.606669062111827
Jawa Barat,Kota Depok,46.2,85.9,112.51,102.23,38.42,109.89,112.33,104.04,3.8543938925915096,4.464758032271346,4.731890938767248,4.636959508477498,3.674273301724574,4.708538718965125,4.730303916744857,4.65434122999454
Jawa Barat,Kota Sukabumi,32.36,48.77,110.87,110.39,5.55,116.71,119.21,101.63,3.507357577490546,3.9074123928704627,4.717337482858839,4.713037556857098,1.8794650496471605,4.768223972424389,4.7892402133161625,4.631130287657623
Jawa Barat,Kota Tasikmalaya,21.44,27.3,108.4,104.31,9.72,113.1,105.41,101.02,3.110845080654496,3.342861804649192,4.695010889987881,4.656908381392506,2.372111155642656,4.73707525686803,4.6672995574536404,4.625168872494781
Jawa Tengah,Kab. Banjarnegara,15.57,18.64,101.76,96.94,3.81,106.91,107.79,101.0,2.8075938314384716,2.97756830292632,4.632396172241683,4.584355046274172,1.5706970841176697,4.681297546375642,4.689419418432991,4.624972813284271
Jawa Tengah,Kab. Banyumas,24.44,32.48,98.39,96.95,8.49,96.13,80.92,100.07,3.2363227384719213,3.5109482456212744,4.599051504979914,4.58445714439055,2.2502386126218363,4.5760502874142395,4.4057431612911975,4.615813346086571
Jawa Tengah,Kab. Batang,18.13,22.16,101.93,98.74,8.1,109.24,114.51,99.62,2.9512577834521614,3.1424266527047946,4.6340491455384685,4.602566800117977,2.2082744135228043,4.7026598072653485,4.749357106300589,4.611351045063173
Jawa Tengah,Kab. Blora,14.83,17.41,106.31,103.3,2.95,117.75,117.44,97.18,2.761906873892921,2.9128939952449864,4.675721841939036,4.647271362006727,1.3737155789130306,4.7770204429147505,4.774406503233391,4.586802528629907
Jawa Tengah,Kab. Boyolali,20.23,25.45,105.8,103.89,7.47,116.71,110.43,99.57,3.055415275715165,3.2752561583043085,4.6709579265260945,4.652912181973512,2.136530508663963,4.768223972424389,4.713396591058963,4.610854002456389
